customer_id,city,province,island,age,gender,monthly_income_million_idr,monthly_spending_million_idr,shopping_frequency_per_month,favorite_product_category,shopping_channel,loyalty_score,year_joined,recency_days
C001,Jakarta,DKI Jakarta,Java,28,Female,8.5,4.2,12,Fashion,Online,85,2020,5
C002,Surabaya,East Java,Java,35,Male,12.0,3.1,6,Electronics,Online,72,2019,14
C003,Bandung,West Java,Java,22,Female,4.5,3.8,20,Fashion,Online,91,2021,2
C004,Medan,North Sumatra,Sumatra,45,Male,15.0,5.5,4,Food & Grocery,Offline,65,2018,30
C005,Semarang,Central Java,Java,31,Female,7.0,2.9,10,Beauty & Skincare,Online,78,2020,7
C006,Makassar,South Sulawesi,Sulawesi,27,Male,6.5,1.8,5,Electronics,Online,60,2021,21
C007,Yogyakarta,Special Region of Yogyakarta,Java,19,Female,2.5,2.1,18,Fashion,Online,88,2022,3
C008,Palembang,South Sumatra,Sumatra,42,Male,10.0,2.5,3,Food & Grocery,Offline,55,2018,45
C009,Denpasar,Bali,Bali,33,Female,9.5,5.8,15,Travel & Lifestyle,Online,92,2020,4
C010,Balikpapan,East Kalimantan,Kalimantan,38,Male,18.5,6.2,5,Electronics,Offline,70,2019,18
C011,Jakarta,DKI Jakarta,Java,25,Female,6.0,5.1,22,Beauty & Skincare,Online,95,2021,1
C012,Surabaya,East Java,Java,40,Male,20.0,8.5,4,Electronics,Offline,68,2017,25
C013,Bandung,West Java,Java,24,Female,5.5,4.5,16,Fashion,Online,87,2021,6
C014,Jakarta,DKI Jakarta,Java,52,Male,35.0,12.0,3,Finance & Investment,Offline,62,2016,40
C015,Medan,North Sumatra,Sumatra,29,Female,7.5,3.2,9,Food & Grocery,Online,75,2020,10
C016,Tangerang,Banten,Java,34,Male,11.0,4.0,7,Electronics,Online,73,2019,16
C017,Bekasi,West Java,Java,27,Female,6.8,3.9,14,Fashion,Online,82,2021,8
C018,Depok,West Java,Java,30,Male,9.0,2.8,6,Food & Grocery,Online,69,2020,22
C019,Bogor,West Java,Java,23,Female,4.0,3.5,19,Fashion,Online,90,2022,3
C020,Solo,Central Java,Java,48,Male,8.0,2.2,4,Food & Grocery,Offline,58,2018,35
C021,Malang,East Java,Java,21,Female,3.5,2.8,17,Fashion,Online,86,2022,4
C022,Pekanbaru,Riau,Sumatra,36,Male,14.0,4.8,5,Electronics,Offline,66,2019,28
